Time,cs:altitude_agl,cs:altitude_amsl,cs:ground_elevation,cs:ground_speed_x,cs:ground_speed_y,cs:ground_speed_z,fc:altitude_raw,fc:control_mode,fc:course,fc:downlink_present,fc:gcs_link_quality,fc:ground_speed,fc:heading,fc:home_latitude,fc:home_longitude,fc:is_armed,fc:latitude,fc:longitude,fc:main_current,fc:main_voltage,fc:pitch,fc:rc_link_quality,fc:remaining_power_level,fc:roll,fc:satellite_count,fc:takeoff_latitude,fc:takeoff_longitude,fc:uplink_present,fc:vertical_speed,gb:heading,gb:pitch,gb:roll
2018-04-19T16:01:38.252,,,,,,,,,,true,,,,,,false,,,,,,,,,,,,true,,,,
2018-04-19T16:01:38.345,,,,,,,,0.0,,true,,,,,,false,,,,,,,,,,,,true,,,,
2018-04-19T16:01:38.377,,,,,,,,0.0,,true,,,,56.976749025189164,24.07383025023125,false,,,,,,,,,,,,true,,,,
2018-04-19T16:01:38.394,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,,,0.0,0.0,,,true,0.0,,,
2018-04-19T16:01:38.533,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:38.642,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:38.736,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:38.830,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.033,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.111,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.205,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.298,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.455,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,,,0.0,1.0,,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.470,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.218,15.626,0.0,1.0,0.6,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.548,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.218,15.626,0.0,1.0,0.6,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.642,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.218,15.626,0.0,1.0,0.6,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.830,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.98,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.218,15.626,0.0,1.0,0.6,0.0,0.0,,,true,0.0,0.0,0.0,0.0
2018-04-19T16:01:39.923,-0.5341487526893616,0.3569096326828003,0.8910583853721619,0.0,0.0,0.0,0.0,0.0,,true,0.99,0.0,0.0,56.976749025189164,24.07383025023125,false,56.976631216586526,24.073917164443465,1.218,15.626,0.0,1.0,0.6,0.0,0.0,,,true,0.0,0.0,0.0,0.0
